row,x,y
1,-116.4165405,32.5835115
2,-116.0832065,32.5835115
3,-115.7498725,32.5835115
4,-115.2498715,32.5835115
5,-115.0832045,32.5835115
6,-114.9165375,32.5835115
7,-117.0832085,32.4168445
8,-116.9165415,32.4168445
9,-116.5832075,32.4168445
10,-116.2498735,32.4168445
11,-115.9165395,32.4168445
12,-115.7498725,32.4168445
13,-115.4165385,32.4168445
14,-115.2498715,32.4168445
15,-114.9165375,32.4168445
16,-114.7498705,32.4168445
17,-116.4165405,32.2501775
18,-116.0832065,32.2501775
19,-115.9165395,32.2501775
20,-115.7498725,32.2501775
21,-115.4165385,32.2501775
22,-115.0832045,32.2501775
23,-114.9165375,32.2501775
24,-114.7498705,32.2501775
25,-114.5832035,32.2501775
26,-114.4165365,32.2501775
27,-114.2498695,32.2501775
28,-116.2498735,32.0835105
29,-116.0832065,32.0835105
30,-115.7498725,32.0835105
31,-115.2498715,32.0835105
32,-115.0832045,32.0835105
33,-114.7498705,32.0835105
34,-114.5832035,32.0835105
35,-114.4165365,32.0835105
36,-114.2498695,32.0835105
37,-114.0832025,32.0835105
38,-113.5832015,32.0835105
39,-116.4165405,31.9168435
40,-116.2498735,31.9168435
41,-115.9165395,31.9168435
42,-114.9165375,31.9168435
43,-114.7498705,31.9168435
44,-114.4165365,31.9168435
45,-113.9165355,31.9168435
46,-113.7498685,31.9168435
47,-113.0832005,31.9168435
48,-116.2498735,31.7501765
49,-115.9165395,31.7501765
50,-115.7498725,31.7501765
51,-115.5832055,31.7501765
52,-115.4165385,31.7501765
53,-114.5832035,31.7501765
54,-114.4165365,31.7501765
55,-114.0832025,31.7501765
56,-113.9165355,31.7501765
57,-113.5832015,31.7501765
58,-113.4165345,31.7501765
59,-113.0832005,31.7501765
60,-112.9165335,31.7501765
61,-112.7498665,31.7501765
62,-108.0831905,31.7501765
63,-107.9165235,31.7501765
64,-107.7498565,31.7501765
65,-107.0831885,31.7501765
66,-106.9165215,31.7501765
67,-106.7498545,31.7501765
68,-106.5831875,31.7501765
69,-116.4165405,31.5835095
70,-115.4165385,31.5835095
71,-115.2498715,31.5835095
72,-115.0832045,31.5835095
73,-114.9165375,31.5835095
74,-113.4165345,31.5835095
75,-113.2498675,31.5835095
76,-112.9165335,31.5835095
77,-112.7498665,31.5835095
78,-112.5831995,31.5835095
79,-112.4165325,31.5835095
80,-111.9165315,31.5835095
81,-107.7498565,31.5835095
82,-107.2498555,31.5835095
